Age,Ehf
170.1,-1.286255607
169.9,-0.983103637
170,1.032668294
170.9,-0.206168965
172.2,2.247848306
171.4,-6.604303908
169.9,2.888064175
171.5,-0.071930416
169.3,-0.900351392
171.6,1.71462893
169.3,1.243553715
172.3,-0.899862164
169.2,1.391899811
168.1,0.725321761
