Table S1: Results of U-Th-Pb analyses for detrital zircon samples,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,
,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±,207Pb*,±,206Pb*,±,error,206Pb*,±,207Pb*,±,206Pb*,±,Best age,±,Conc
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%)
,,,,,,,,,,,,,,,,,,,
SV8 (100211-1A),,,,,,,,,,,,,,,,,,,
100211-1A spot 1,394.5217234441169,38347.8798072552,6.792329439742468,16.738743163805168,1.8955131081243246,0.723439213797514,3.5969352127020273,0.08866844754131625,2.982155747671592,0.8290824191496596,547.6573196441315,15.657492377427275,552.6951691179634,15.331224826924313,574.4624421219501,43.72931813306502,547.6573196441315,15.657492377427275,95.33387728903463
100211-1A spot 2,363.47983871070335,80973.7879642349,2.3376139724723908,9.908011190620515,1.3482500720802684,3.693345922420486,2.8940826072686665,0.2667014813446204,2.556934260899392,0.883504242234653,1524.0371504179598,34.704833589950795,1569.9301867209215,23.125813961671383,1632.9791378852892,25.186770320352935,1632.9791378852892,25.186770320352935,93.32863568554774
100211-1A spot 3,413.6083894545049,36591.397229937626,2.3053494085160993,13.811146185163398,1.5434891863400027,1.502592362667104,2.3558713080442537,0.15181065453977288,1.5773080245166935,0.6695221505227757,911.1051499503887,13.401581009088659,931.4384319285498,14.362821967497439,980.7374065423783,35.60468100108801,980.7374065423783,35.60468100108801,92.90001012223237
100211-1A spot 4,393.3551163378465,12852.107134556982,1.167374082208347,18.262500870819157,2.6641138171048766,0.3448843171522112,3.6600321831342653,0.046799117342909174,1.2632094950204844,0.34513617143626724,294.83995795622053,3.640557650829976,300.86612154389945,9.530298867764316,348.8851173372058,77.66662525063742,294.83995795622053,3.640557650829976,84.50918176347736
100211-1A spot 5,479.2563593127362,21083.958326031432,2.6305722474388373,12.897084948842174,1.1610651570110646,1.8951618660744596,1.7230937264821227,0.17932885159093026,1.2005913919528932,0.6967649951369894,1063.3070544944776,11.768708209635406,1079.3938384019561,11.452937102672877,1112.869348191184,24.648422608478995,1112.869348191184,24.648422608478995,95.5464409387083
xx 6,641.5261349703,149572.74473727692,1.7552329974997085,13.13015001998286,1.11355894909529,1.8484045775247289,1.7642428041429399,0.17674207456126367,1.3621439316877788,0.772084164656407,1049.1517566676973,13.188640287931321,1062.861390237877,11.624877083121646,1091.9692448054377,22.459515184194288,1091.9692448054377,22.459515184194288,96.07887416780045
100211-1A spot 6,1101.0326160735397,77460.73400128438,2.1033482761595157,18.826925182482277,1.4017009585954232,0.3655303920842165,1.926990140670687,0.05023216611256698,1.2565681977785932,0.6520885453732761,315.9468190909715,3.8743680378110525,316.33540010591605,5.237601931902475,320.2090543590948,33.216445327609904,315.9468190909715,3.8743680378110525,98.66892106575365
100211-1A spot 7,373.34076515759443,10506.92411798405,1.389893314155036,17.414594456376637,4.0118811305823385,0.15413190320035905,5.085176963513677,0.020006622578131513,1.5029472372724275,0.2955545594688497,127.69779209515147,1.9003462180042021,145.553599452631,6.895642626185975,448.3506301438372,107.98000642782637,127.69779209515147,1.9003462180042021,28.481680075744343
100211-1A spot 8,1384.0536604545568,75573.69425362347,3.826696930418249,18.74535959712702,1.452835513419906,0.3642856615944242,2.031725655673336,0.04984783085808356,1.4118658312772754,0.694909682975563,313.5873049139672,4.321470563471394,315.4094195211828,5.508493019282184,329.8593437493549,33.1625781497105,313.5873049139672,4.321470563471394,95.06697653295763
100211-1A spot 10,317.47200611468674,27959.21899563484,4.673837497614408,17.052300625757436,1.8686034724832639,0.6846579123946329,2.464962875536478,0.0856952632530445,1.2559627974108758,0.5095260500170926,530.0278961837084,6.390633191611528,529.585747923786,10.17198781088814,528.6560436412183,46.46180124884518,530.0278961837084,6.390633191611528,100.25949812907487
100211-1A spot 11,247.13030335194097,11665.614334974547,1.8136044369491433,17.657399477954105,3.4677444343434023,0.3343828088826038,4.241762226480845,0.043924369432750604,1.6040633064694803,0.3781596470578887,277.112288568851,4.350871190086252,292.9064014903147,10.79304091887451,421.7864568315377,87.67057052468124,277.112288568851,4.350871190086252,65.69966486134243
100211-1A spot 13,253.73435318535167,16876.658802994618,1.3457808451269193,18.425688094438577,2.7031320819521927,0.3920843203891024,3.4857279872915647,0.053417926902939096,1.435398921826112,0.4117931539865871,335.47169093891404,4.692207020651324,335.8908819310641,9.968752777329428,339.8010943310041,71.91359987965052,335.47169093891404,4.692207020651324,98.72590069181098
100211-1A spot 14,318.38042978911267,72193.25782228005,1.773244723519043,14.239977544832401,1.4403188772939097,1.4397934804773023,2.079990051515291,0.14960038114855606,1.4821858939710424,0.7125927803795297,898.7228836839417,12.433884155109126,905.6337478543627,12.463607321072004,923.4403183505892,29.986734050574682,923.4403183505892,29.986734050574682,97.32333165712357
100211-1A spot 15,472.3805730250408,4548.557431643083,2.6197606764410373,17.18031110126003,4.348073013581171,0.15720592369460132,8.954063681225483,0.02078455929414546,1.662710946549674,0.1856934466566253,132.61245711952603,2.1824368894017994,148.2544682908051,12.351329372716634,407.32476017252736,196.94643302709449,132.61245711952603,2.1824368894017994,32.55693492911072
