,Best Age
2,1841.19621279566
3,185.5633609814921
4,597.9745129139563
5,2554.13925892992
6,252.79024114715736
7,441.3902922088745
8,419.57045216011267
9,295.9329415205735
10,1082.2818802106995
11,303.6152689819637
12,2175.7823969549445
13,321.37753988058614
14,294.2984845836946
15,226.46854655027008
16,1204.1784462344579
17,489.1080878256365
18,857.9321632879189
19,287.5987055542793
20,615.6135655835614
21,283.1418218396775
22,1818.4332659737063
23,425.9340282737668
24,805.7348445176484
25,2530.330078616527
26,396.7472668814156
27,214.4420009204664
28,439.76976560651354
29,227.95917289273893
31,237.55845248410486
32,368.1704344933722
33,1606.90073394434
34,297.5085123568128
35,425.91287964273386
36,404.7222992614689
37,308.4864266793914
38,214.9713232503253
39,313.19637567008175
40,298.33084757916083
41,285.9211642963537
42,494.7039331058193
43,251.84945383724508
44,177.74514345000492
45,1177.100189132008
46,303.72684493705003
47,443.63863832766
48,471.5023298528605
49,806.4710412070859
50,416.6122005644788
51,313.3413417266786
52,2515.398802797557
53,299.3443206042501
54,240.82567868803386
55,441.8010873788354
56,307.99394530829414
57,2485.6986463522767
58,286.1383027518894
60,310.25476793333274
61,456.15971713678016
62,242.48013923622196
63,2473.2956313797818
64,511.90677245170735
65,953.5621127402427
66,292.6353419957453
67,178.3742322633286
68,211.10123227253888
69,245.32316687931845
70,301.3933099449639
71,1766.4690347433786
72,449.05060640939723
73,821.1905887817983
74,304.53673819892873
75,636.9770514200804
76,452.67418610290173
77,415.2477636846156
78,921.9339703209113
79,285.63007419935417
80,286.85497399029975
81,1707.6714362560176
82,216.95423928715172
83,694.3204270155907
84,291.2265861869872
85,424.21538204152245
86,421.62646810859263
87,304.2939079779692
88,308.22901221566616
89,628.7560465704072
91,326.30335604675304
92,919.0213625398148
93,927.003041545386
94,2117.055819993306
95,298.4135160092548
96,310.8047427000196
97,369.4998047112815
98,417.63031357706467
99,282.2799316568489
100,303.1501673779886
101,1753.2723987819577
102,251.11624545318003
103,176.4829664615812
104,234.01432783593913
105,435.1596877131851
106,429.91725254267413
107,2477.173837941225
108,631.0398445895222
109,488.8296937060388
110,411.7631117684331
111,313.93121532142675
112,443.9355377913513
113,300.23155354899876
114,672.9078827899052
115,2424.0128343630854
117,182.60206254335446
118,340.5782756311105
119,1989.5431298777003
120,180.99817707127113
121,302.1067511398571
122,419.88671092384175
123,377.5887637962356
124,275.41304379466743
125,428.41155273895765
126,433.7488189153915
127,330.7876770167374
128,427.07414946468975
129,333.75251225501034
130,725.9876981044861
131,3342.3235137554257
132,222.38374558310673
133,318.0619423261667
134,296.55630677986284
135,532.6066838871749
136,268.046103200282
137,431.6609273191086
138,335.2008635499864
139,237.54126144387345
140,309.0442661810869
141,1608.3642509627916
142,306.5227491936694
143,976.4070089714455
144,282.21491247444646
146,526.250287530153
147,317.6452174889369
148,296.6874590239761
149,431.19014263527083
150,226.7486382489411
151,477.2400318663703
152,602.8184650586954
153,421.28430752017664
154,1303.2087542930294
155,172.2533907398122
156,402.13112518481944
157,285.7873360128717
158,530.2114733849147
159,396.7340036842306
160,320.5495146260781
161,293.9905140785321
162,317.8597949164345
163,2536.1216831894153
164,406.8489308399958
165,502.5182414593715
166,1050.1936349720327
167,2137.973865597441
168,308.3748516623617
169,397.7637290116204
170,443.3597894124952
171,247.90893998941704
172,226.94600054347535
173,432.0633149437596
174,239.8624463148804
175,266.3900118421786
177,330.25351181905074
178,1478.4049175711398
179,294.9723114582131
180,470.87886465299863
181,476.70206227622384
182,275.4566454348177
183,2062.286642352707
184,1070.2067881267558
185,617.9279508880174
186,1049.4476927905432
187,412.8283673902436
188,343.996786660561
189,350.2347895373197
190,391.4513820308658
191,442.8040869754684
192,437.92324311476517
193,869.1122676863201
194,175.54726624055888
195,281.692847669203
196,525.4515789796184
197,407.8973263076145
198,234.70827406856196
199,458.79268165415795
200,1642.7884629400962
201,234.18230206334226
202,1788.2987974670102
203,211.1066454742697
204,1998.7823181854508
205,424.72732469691783
206,436.7820315565411
208,432.4563696708551
209,272.9839264554723
210,1301.5616334691524
211,2122.1816024753452
212,1007.9399143608542
213,1521.2316558288187
214,266.3500156616987
215,463.9580408155761
216,1445.1199727130218
217,193.01510727971612
218,269.39990934238415
219,243.29880470905377
220,1859.7568619864874
221,296.40495802426005
222,524.8603699353442
223,1947.8937937743283
224,319.2149080141547
225,426.19602197972745
226,450.2590887014918
227,875.2207819085224
228,416.521057038933
229,432.05054214490286
230,180.55929913573812
231,292.8719609855602
232,182.41024669055895
233,453.7583041230227
234,414.3193843209005
236,342.4314924727578
237,441.65119955010545
238,177.89762731586734
239,202.59312076872985
240,437.4453832384394
241,242.88532216410877
242,301.3869472411707
243,307.6041879736813
244,427.31750177416535
245,810.1263252867523
246,337.7052168905882
247,387.68993159221554
248,583.0263477275984
249,444.0869598382459
250,402.88382363764975
251,211.33601953018317
252,311.8169046199757
253,1705.387638189477
254,237.50693179245403
255,318.76121336310354
256,505.16833845558466
257,449.1160932937081
258,850.7647997272962
