,Best Age
2,397.2166433692741
3,466.4622542408442
4,426.9366204054662
5,417.83173551954206
6,331.83089274586126
7,271.7519826871676
8,467.3784500584521
9,355.530166754223
10,287.5686851216975
11,296.0027188794984
12,435.3424865342025
13,240.13169637826422
14,443.2965937385896
15,437.04409249054964
16,261.9303611758412
17,2599.370155920076
18,222.1069009466521
19,464.15672940598915
20,394.87457254864046
21,417.56622294621263
22,445.95873467478634
23,306.3172720824841
24,1105.6279096136811
25,2052.6607103216647
26,292.6421354095548
27,299.70482390451167
28,306.5151402627978
29,1114.874265984333
30,300.3187341998452
32,1991.3222650989724
33,291.86494143652453
34,312.1941097626493
35,989.874059186829
36,283.3567401477801
37,451.89211352266386
38,285.66168663080214
39,288.7699996321241
40,311.473131908828
41,325.73249529311795
42,283.05741786694307
43,301.380993019757
44,282.48143680054045
45,2706.396582594539
46,2693.738676259045
47,281.0672854827493
48,1917.2835226256084
49,693.5930304618903
50,502.7590987548092
51,421.10916217825144
52,305.06520066590986
53,435.9893791287871
54,317.06510444864637
55,464.55511670229873
56,314.0190030039794
57,363.43417648296565
58,419.71094377438885
59,295.2687883879452
60,452.6891199386443
61,294.7891005540432
62,343.6876577652739
64,441.4986364260951
65,901.2737520375865
66,2073.8850591985183
67,335.83520253991543
68,445.19456926706005
69,427.57108863600837
70,418.40361516881586
71,1625.9209069240103
72,2290.640377537176
73,320.6742674244753
74,654.8270453546631
75,1901.2433030688385
76,447.32577979730144
77,482.65581256810344
78,1751.2028042495451
79,246.16916459020482
80,1691.184217864189
81,407.04650209881805
82,298.2542771355636
83,1628.2010046713335
84,462.7165702545184
85,971.4527588123211
86,433.54511216729645
87,451.19823554980167
88,374.2762194808347
89,233.73698610143506
91,815.3214529098768
92,453.00766140062507
93,1583.2388960416379
94,305.76586608666304
95,433.54583103661827
96,763.5556614905846
97,231.04971545619085
98,447.7280404286853
99,363.3602901668415
100,307.29279132339195
101,739.5562557412478
102,439.57463784601623
103,1184.7378031616402
104,461.7046681331342
105,300.52378006410913
106,484.6980036357068
107,443.8081984593395
108,950.7565581477144
109,426.0112595053512
110,1527.8926906445965
111,430.67670391390186
112,497.6019664945204
113,442.425356653492
114,918.0563487524727
115,351.2898582382718
116,963.5657338881919
117,286.40057607272365
118,453.50225186202266
120,291.5725386404998
121,315.4704254424399
122,412.6547499729384
123,1553.3679294358196
124,414.009908916264
125,447.6889834813826
126,576.2874042704308
127,2256.461262533942
128,283.5883378969769
129,450.59082395521955
130,336.0406807282784
131,295.54513368989814
132,791.0456440768438
133,477.6499961931922
134,1826.7541322861728
135,226.11409831247678
136,448.7691802362157
137,418.96953629221076
138,418.8532298857053
139,453.45952619240734
140,407.122913813245
141,447.39259936046017
142,408.8905145946064
143,289.27127938242637
144,285.58739677897495
145,453.9300578493232
146,302.89485282075543
147,893.8087799381602
148,430.33763610643217
149,311.83520376134544
151,344.1141700487011
152,469.7729967264713
153,452.05041779734535
154,821.0704631102667
155,523.4215195358329
156,358.6736671496258
157,562.7361783958556
158,274.98519683269205
159,230.89682035568796
160,1795.4740237749882
161,522.9748347982619
162,327.56896345331825
163,341.0592771360026
164,1852.709498137807
165,374.5599401177951
166,454.31308588246316
167,328.88667011884274
168,289.88547342550726
169,831.230967810835
170,415.17322773919534
171,332.47156536431845
172,324.27843451765773
173,461.5002340066845
174,2433.083522137173
175,300.61742084860913
176,1447.226063616275
177,1050.9622297114086
178,430.1651547895944
179,2501.988532593547
180,1957.4934345304275
182,453.72841243727265
183,423.8518634130643
184,1831.1808924080105
185,615.9570266528514
186,298.46275936383546
187,434.01740036946035
188,317.98623549319603
189,311.83816269233256
190,1736.4331568346925
191,302.9840043932661
192,343.3344024226074
193,795.8156430113106
194,247.78232536466695
195,1935.5272238287253
196,463.9959020549222
197,981.0543362287018
198,434.63328379495164
199,306.16561400495283
200,314.8496178478039
201,1769.4833543814866
202,2525.9970816417094
203,303.59312853883006
204,293.528286839675
205,292.2082492862609
206,444.0577700906102
207,409.5282037293525
208,1271.1948476114117
209,299.68411115787984
210,405.2474539026675
212,1814.8323303579214
213,670.3854534462729
214,551.9007842288863
215,267.66110775591704
216,312.3666627220726
217,313.1956557581597
218,430.5541507342272
219,445.1830759575479
220,302.75299171940344
221,447.8837101649541
222,763.6206935998442
223,2344.4812865171307
224,517.498941075708
225,1647.7052669974814
226,465.1107218534298
227,2483.6241477291946
228,452.4943557025401
229,310.9976343338028
230,292.68154293435646
231,312.6419997720784
232,379.68016245384507
233,328.3802824722042
234,424.7931688512299
235,301.615394804821
236,298.7230013738982
237,322.5293407519413
238,415.2830594898644
239,1120.6382474946092
241,444.87109855102625
242,452.30746364046865
243,294.2381521977016
244,440.5319091862464
245,1811.3497929153414
246,1643.4664031853483
247,1637.9432679906827
248,312.969700150927
249,305.38819012368606
250,582.7874554250594
251,323.8965908069881
252,3130.278276875863
253,2352.5103678918194
254,1097.0577527537898
255,884.6959590003949
256,1860.371724166891
257,963.4879196159602
258,464.1218356109202
259,406.01778717191985
260,2480.833232785169
261,403.387364392181
262,423.69741317032475
263,448.102965711984
264,428.9940216135433
265,1931.8244636014947
266,252.76784446851332
267,446.15852253499634
268,440.98272848017643
269,356.8466708450435
270,313.88940724904774
272,666.1658352791303
273,467.20756751899046
274,2082.872638052397
275,338.8503358016103
276,1154.5479117971145
277,441.3173035780894
278,427.2666004155451
279,260.8881706179136
280,531.1181480945011
281,1441.491490460727
282,1455.2538807189705
283,313.84690283528244
284,338.71486563039076
285,468.54439919095665
286,488.1691093272174
287,302.9184911927622
288,270.3392937590751
289,407.468275287374
290,368.8281583138023
291,2082.020081638294
292,331.30024935359813
293,1746.7135921133347
294,262.5710316744058
295,277.41252567128646
296,2173.864930701836
297,571.2979973849101
298,413.0267436969628
299,435.1642289569614
300,1615.4860522519755
302,395.98355005746856
303,285.24389043072335
304,453.9057618293161
305,315.7277371383238
306,814.6776384009772
